DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
220314085,2022-07-22,2020-05-12,1110,Southwest,THEFT OF IDENTITY,27,F,B,,Invest Cont,2500 S  SYCAMORE                     AV
222013040,2022-08-06,2020-06-04,1620,Olympic,THEFT OF IDENTITY,60,M,H,,Invest Cont,3300    SAN MARINO                   ST
220614831,2022-08-18,2020-08-17,1200,Hollywood,THEFT OF IDENTITY,28,M,H,,Invest Cont,1900    TRANSIENT
231207725,2023-02-27,2020-01-27,0635,77th Street,THEFT OF IDENTITY,37,M,H,,Invest Cont,6200    4TH                          AV
220213256,2022-07-14,2020-07-14,0900,Rampart,THEFT OF IDENTITY,79,M,B,,Invest Cont,1200 W  7TH                          ST
221216052,2022-07-07,2020-02-23,1000,77th Street,THEFT OF IDENTITY,28,F,B,,Invest Cont,500 W  75TH                         ST
221515929,2022-10-10,2020-04-01,1200,N Hollywood,THEFT OF IDENTITY,33,M,W,,Invest Cont,5700    CARTWRIGHT                   AV
231906599,2023-03-03,2020-01-14,1335,Mission,THEFT OF IDENTITY,35,M,O,,Invest Cont,14500    WILLOWGREEN                  LN
231207476,2023-02-27,2020-08-15,0001,77th Street,BURGLARY,72,M,B,,Invest Cont,8800    HAAS                         AV
231506571,2023-03-03,2020-07-15,1700,N Hollywood,OTHER MISCELLANEOUS CRIME,21,F,W,VERBAL THREAT,Invest Cont,12300    EMELITA                      ST
221711184,2022-06-15,2020-05-15,0155,Devonshire,THEFT OF IDENTITY,27,M,B,,Invest Cont,8300    WHITE OAK                    AV
220119956,2022-09-06,2020-07-01,1130,Central,THEFT OF IDENTITY,22,F,B,,Invest Cont,800 S  HOPE                         ST
221516944,2022-11-03,2020-06-01,1200,N Hollywood,THEFT OF IDENTITY,59,M,O,,Invest Cont,6700    BAKMAN                       AV
220712955,2022-08-16,2020-11-08,1005,Wilshire,THEFT PLAIN - PETTY ($950 & UNDER),59,F,O,,Invest Cont,100 S  FLORES                       ST
221913440,2022-08-20,2020-04-17,0955,Mission,THEFT OF IDENTITY,78,F,W,,Invest Cont,15200    COBALT                       ST
231207740,2023-02-17,2020-02-17,1240,77th Street,THEFT OF IDENTITY,52,M,O,,Invest Cont,700 E  80TH                         ST
220316688,2022-09-12,2020-09-11,2100,Southwest,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),27,F,O,,Invest Cont,1300 W  37TH                         DR
221312369,2022-06-03,2020-12-10,0700,Newton,THEFT OF IDENTITY,33,M,H,,Invest Cont,2700 S  CENTRAL                      AV
221912723,2022-08-02,2020-11-01,1100,Mission,DOCUMENT FORGERY / STOLEN FELONY,56,F,H,,Invest Cont,8900    BURNET                       AV
"220120619,2022-09-16,2020-09-15,1541,Central,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",26,M,H,,Invest Cont,900 S  MAIN                         ST"
"221216517,2022-07-14,2020-01-01,1200,77th Street,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,22,F,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,FIGUEROA"
221110658,2022-06-21,2020-02-28,1625,Northeast,THEFT OF IDENTITY,39,M,C,,Invest Cont,3600    TRACY                        ST
221511470,2022-06-22,2020-07-11,1200,N Hollywood,THEFT OF IDENTITY,63,M,W,,Invest Cont,12600    OTSEGO                       ST
220911866,2022-07-26,2020-02-01,0505,Van Nuys,THEFT OF IDENTITY,34,F,W,,Invest Cont,15200    LA MAIDA                     ST
220321807,2022-12-13,2020-05-17,1620,Southwest,THEFT OF IDENTITY,50,M,B,,Invest Cont,1400 W  25TH                         ST
220411016,2022-07-18,2020-06-22,1300,Hollenbeck,BURGLARY,68,M,H,,Invest Cont,4800    VALLEY                       BL
"222017787,2022-11-30,2020-01-01,1200,Olympic,ORAL COPULATION,12,F,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,1100    ARAPAHOE                     ST"
221718084,2022-12-20,2020-12-02,1510,Devonshire,THEFT PLAIN - PETTY ($950 & UNDER),15,F,H,,Invest Cont,9300    TAMPA                        AV
220116036,2022-06-17,2020-03-23,1200,Central,THEFT OF IDENTITY,48,M,B,,Invest Cont,100 E  3RD                          ST
"221713038,2022-08-31,2020-03-10,1800,Devonshire,""BUNCO, GRAND THEFT"",32,M,O,,Invest Cont,18400    PLUMMER                      ST"
221314362,2022-07-11,2020-04-07,0001,Newton,THEFT OF IDENTITY,53,F,H,,Invest Cont,1600 E  OLYMPIC                      BL
"231006256,2023-02-27,2020-06-02,1916,West Valley,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",50,M,O,,Adult Other,16200    VENTURA                      BL"
221011819,2022-07-20,2020-07-19,1800,West Valley,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),80,F,K,,Invest Cont,18400    INGOMAR                      ST
231307252,2023-03-03,2020-07-05,2305,Newton,THEFT OF IDENTITY,22,F,B,,Invest Cont,6600 S  BROADWAY
221110416,2022-06-14,2020-10-24,0955,Northeast,THEFT OF IDENTITY,37,M,O,,Invest Cont,3900    GLENFELIZ                    BL
"220313293,2022-07-06,2020-06-30,1400,Southwest,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,VERMONT                      AV"
221614254,2022-11-13,2020-01-01,0001,Foothill,THEFT OF IDENTITY,22,F,H,,Invest Cont,10200    TELFAIR                      AV
230706782,2023-03-01,2020-07-12,1925,Wilshire,THEFT OF IDENTITY,47,F,W,,Invest Cont,100 S  POINSETTIA                   PL
