plant_id,leaf_order,width_cm,length_cm,outer_fenestration_count,inner_fenestration_count,matured_at,notes_x,matured_at_estimated,cultivar,acquired_at,growing_medium,light_type,notes_y,initial_leaf_order
7,1,6.54,7.61,0,0,2025-06-22,,True,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
7,2,8.94,12.81,0,0,2025-08-15,,True,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
7,3,11.17,13.42,0,0,2025-10-08,,True,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
7,4,11.84,13.41,0,0,2025-11-30,,True,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
7,5,14.47,18.06,0,0,2026-01-23,,True,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
7,6,17.06,17.35,0,0,2026-03-17,,True,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
7,7,21.5,25.0,0,0,2026-05-10,,False,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
8,1,9.35,12.19,0,0,2025-06-09,,True,Yellow Marilyn,2025-08-15,Chunky mix,West window,,2
8,2,9.93,11.76,0,0,2025-08-15,,True,Yellow Marilyn,2025-08-15,Chunky mix,West window,,2
8,3,15.49,19.99,1,0,2025-10-21,,True,Yellow Marilyn,2025-08-15,Chunky mix,West window,,2
8,4,16.26,18.79,1,0,2025-12-27,,True,Yellow Marilyn,2025-08-15,Chunky mix,West window,,2
8,5,20.33,24.88,2,0,2026-03-04,,True,Yellow Marilyn,2025-08-15,Chunky mix,West window,,2
8,6,22.75,26.81,3,0,2026-05-10,,False,Yellow Marilyn,2025-08-15,Chunky mix,West window,,2
9,1,11.61,17.24,0,0,2025-08-15,,True,Mint,2025-08-15,Chunky mix,Grow Light,,1
9,2,13.49,18.19,1,0,2025-10-09,,True,Mint,2025-08-15,Chunky mix,Grow Light,,1
9,3,17.1,20.27,3,0,2025-12-02,,True,Mint,2025-08-15,Chunky mix,Grow Light,,1
9,4,18.99,22.86,5,0,2026-01-26,,True,Mint,2025-08-15,Chunky mix,Grow Light,,1
9,5,21.55,22.38,9,4,2026-03-21,,True,Mint,2025-08-15,Chunky mix,Grow Light,,1
9,6,25.54,33.2,10,1,2026-05-15,,False,Mint,2025-08-15,Chunky mix,Grow Light,,1
3,1,7.0,10.0,0,0,2025-07-04,,True,Yellow Marilyn,2025-08-15,Deep Water Culture,Grow Light,,2
3,2,9.0,12.0,0,0,2025-08-15,,True,Yellow Marilyn,2025-08-15,Deep Water Culture,Grow Light,,2
3,3,12.0,14.0,0,0,2025-09-26,,True,Yellow Marilyn,2025-08-15,Deep Water Culture,Grow Light,,2
3,4,14.0,15.0,1,0,2025-11-07,,True,Yellow Marilyn,2025-08-15,Deep Water Culture,Grow Light,,2
3,5,15.0,17.0,0,0,2025-12-20,,True,Yellow Marilyn,2025-08-15,Deep Water Culture,Grow Light,,2
3,6,19.0,22.0,1,0,2026-01-31,,True,Yellow Marilyn,2025-08-15,Deep Water Culture,Grow Light,,2
3,7,27.0,26.0,4,0,2026-03-14,,True,Yellow Marilyn,2025-08-15,Deep Water Culture,Grow Light,,2
3,8,35.0,30.0,7,0,2026-04-25,,False,Yellow Marilyn,2025-08-15,Deep Water Culture,Grow Light,,2
1,1,12.0,15.0,0,0,2025-06-13,,True,Thai Constelation,2025-08-15,Deep Water Culture,Grow Light,Low variegated,2
1,2,12.0,14.0,0,0,2025-08-15,,True,Thai Constelation,2025-08-15,Deep Water Culture,Grow Light,Low variegated,2
1,3,14.0,15.0,0,0,2025-10-17,,True,Thai Constelation,2025-08-15,Deep Water Culture,Grow Light,Low variegated,2
1,4,17.0,21.0,2,0,2025-12-20,,True,Thai Constelation,2025-08-15,Deep Water Culture,Grow Light,Low variegated,2
1,5,23.0,21.0,3,0,2026-02-21,,True,Thai Constelation,2025-08-15,Deep Water Culture,Grow Light,Low variegated,2
1,6,33.0,31.0,6,0,2026-04-25,,False,Thai Constelation,2025-08-15,Deep Water Culture,Grow Light,Low variegated,2
2,1,7.0,9.0,0,0,2025-06-22,,True,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
2,2,8.0,11.0,0,0,2025-08-15,,True,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
2,3,10.0,12.0,0,0,2025-10-08,,True,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
2,4,12.0,12.0,0,0,2025-11-30,,True,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
2,5,15.0,15.0,0,0,2026-01-23,,True,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
2,6,20.0,19.0,0,0,2026-03-17,,True,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
2,7,20.0,20.0,0,0,2026-05-10,,False,Thai Constelation,2025-08-15,Chunky mix,West window,Medium white spots,2
4,1,10.0,13.0,0,0,2025-06-09,,True,Yellow Marilyn,2025-08-15,Chunky mix,West window,,2
4,2,11.0,13.0,0,0,2025-08-15,,True,Yellow Marilyn,2025-08-15,Chunky mix,West window,,2
4,3,16.0,17.0,1,0,2025-10-21,,True,Yellow Marilyn,2025-08-15,Chunky mix,West window,,2
4,4,15.0,16.0,1,0,2025-12-27,,True,Yellow Marilyn,2025-08-15,Chunky mix,West window,,2
4,5,20.0,21.0,2,0,2026-03-04,,True,Yellow Marilyn,2025-08-15,Chunky mix,West window,,2
4,6,25.0,24.0,3,0,2026-05-10,,False,Yellow Marilyn,2025-08-15,Chunky mix,West window,,2
5,1,13.0,16.0,0,0,2025-08-15,,True,Mint,2025-08-15,Chunky mix,Grow Light,,1
5,2,14.0,16.0,1,0,2025-10-09,,True,Mint,2025-08-15,Chunky mix,Grow Light,,1
5,3,18.0,19.0,3,0,2025-12-02,,True,Mint,2025-08-15,Chunky mix,Grow Light,,1
5,4,21.0,23.0,5,0,2026-01-26,,True,Mint,2025-08-15,Chunky mix,Grow Light,,1
5,5,23.0,26.0,7,4,2026-03-21,,True,Mint,2025-08-15,Chunky mix,Grow Light,,1
5,6,28.0,31.0,10,1,2026-05-15,,False,Mint,2025-08-15,Chunky mix,Grow Light,,1
